Topic_ID,Doc_Count,Percentage,Top_Words,Is_Predominant
0,0,0.0%,"straßenlaterne, neu, haltestelle, tram, herum, nördlich, wilhelm, weitling, funktion, paar",False
1,3,0.3%,"höhe, leucht, kind, bank, beschädigen, mal, münchen, verletzen, melden, klettergerüst",False
2,616,67.1%,"leuchte, mast, komplett, dunkel, laterne, ecke, stehen, woche, fehlen, direkt",True
3,0,0.0%,"entlang, funktionieren, weg, fußgänger, vieler, seite, sodass, teilweise, unterführung, sonntag",False
4,237,25.8%,"ausfallen, lampe, leuchten, licht, beleuchtung, straßenbeleuchtung, flackeren, mastnummer, kaputt, leuchtmittel",False
5,1,0.1%,"ampel, spielplatz, rot, grünstreifen, richtung, park, fußgängerampel, haus, grün, gehweg",False
6,61,6.6%,"defekt, röhre, liegen, mülleimer, brunnen, verschmutzen, schloß, masst, berg, lassen",False
