service_request_id,service_name,title,description,requested_datetime,status
65591-2025,Leuchte ausgefallen,#65591-2025 Leuchte ausgefallen,Straßenlaterne leichtet kaum/nicht,2025-11-05T15:13:40+01:00,closed
65595-2025,Brunnen beschädigt,#65595-2025 Brunnen beschädigt,brunnen funktioniert nicht ,2025-11-05T15:41:52+01:00,closed
65599-2025,Leuchte ausgefallen,#65599-2025 Leuchte ausgefallen,"Die Laterne funktioniert nicht immer, mal geht sie, mal geht sie nicht.
Kein Flackern. Wenn sie leuchtet, geht sie öfter unvermittelt aus und bleibt dann auch die ganze Nacht aus.
Vielen Dank im Voraus !",2025-11-05T16:10:19+01:00,closed
65604-2025,Leuchte ausgefallen,#65604-2025 Leuchte ausgefallen,"Lampe am Betonplatz für Sportzwecke ist seit Wochen ausgefallen,  geht nur in Richtung des linken Platzes für Hockey , rechts ist es dunkel. ",2025-11-05T17:14:12+01:00,closed
65609-2025,Leuchte ausgefallen,#65609-2025 Leuchte ausgefallen,Straßenlampe Lindwurmstraße 11 stadteinwärts ausgefallen,2025-11-05T18:09:45+01:00,closed
65611-2025,Leuchte ausgefallen,#65611-2025 Leuchte ausgefallen,Straßenlampe beim Staatsarchiv Schönfeldstr. 3 ausgefallen,2025-11-05T18:56:27+01:00,open
65612-2025,Leuchte ausgefallen,#65612-2025 Leuchte ausgefallen,Straßenlampe in der Kaulbachstr. 65 ausgefallen,2025-11-05T19:03:36+01:00,closed
65613-2025,Leuchte ausgefallen,#65613-2025 Leuchte ausgefallen,Straßenlampe ausgefallen in der Kaulbachstraße 63,2025-11-05T19:09:44+01:00,closed
65616-2025,Leuchte ausgefallen,#65616-2025 Leuchte ausgefallen,6,2025-11-05T19:20:12+01:00,closed
65618-2025,Leuchte ausgefallen,#65618-2025 Leuchte ausgefallen,37,2025-11-05T19:24:13+01:00,closed
65619-2025,Leuchte ausgefallen,#65619-2025 Leuchte ausgefallen,"6, Bitte Mastnummeraufkleber auch ersetzen",2025-11-05T19:34:10+01:00,closed
65621-2025,Leuchte ausgefallen,#65621-2025 Leuchte ausgefallen,57,2025-11-05T19:48:33+01:00,closed
65622-2025,Leuchte ausgefallen,#65622-2025 Leuchte ausgefallen,73,2025-11-05T19:51:34+01:00,open
65623-2025,Leuchte ausgefallen,#65623-2025 Leuchte ausgefallen,"Straßenlaterne defekt, leuchtet nicht.
Alle in der Straße leuchten außer diese",2025-11-05T20:26:24+01:00,closed
65624-2025,Leuchte ausgefallen,#65624-2025 Leuchte ausgefallen,In der Sendlinger Straße sind mehrere Leuchten ausgefallen (Masten 37 und 40),2025-11-05T20:58:26+01:00,closed
65627-2025,Leuchte ausgefallen,#65627-2025 Leuchte ausgefallen,Über der Ottostr. ist eine Leuchte ausgefallen. Sie ist etwa auf Höhe der Hausnummer 21,2025-11-05T21:20:55+01:00,closed
65628-2025,Leuchte ausgefallen,#65628-2025 Leuchte ausgefallen,Am Karolinenplatz ist eine Leuchte ausgefallen. ,2025-11-05T21:26:08+01:00,open
65629-2025,Leuchte ausgefallen,#65629-2025 Leuchte ausgefallen,Am Karolinenplatz ist eine Leuchte ausgefallen. Sie ist an der Einmündung der Brienner Straße zum Königsplatz hin. Nummer nicht sichtbar wegen Efeu. ,2025-11-05T21:29:35+01:00,open
65631-2025,Leuchte ausgefallen,#65631-2025 Leuchte ausgefallen,Über der Schleißheimer Straße ist eine Leuchte ausgefallen. Etwa bei Hausnummer 126,2025-11-05T22:03:32+01:00,closed
65658-2025,Leuchte ausgefallen,#65658-2025 Leuchte ausgefallen,Seit Wochen sind 2 Straßenlaternen ausgefallen ,2025-11-06T15:36:27+01:00,closed
65670-2025,Leuchte ausgefallen,#65670-2025 Leuchte ausgefallen,Leuchte ausgefallen.,2025-11-06T17:09:37+01:00,closed
65671-2025,Leuchte beschädigt,#65671-2025 Leuchte beschädigt,"Beleuchtung fehlt komplett  ! 

",2025-11-06T17:28:44+01:00,open
65672-2025,Leuchte beschädigt,#65672-2025 Leuchte beschädigt,"Leuchte fehlt komplett 

Bitte schnell reparieren an der stark frequentierten Stelle ",2025-11-06T17:31:18+01:00,open
65673-2025,Leuchte beschädigt,#65673-2025 Leuchte beschädigt,"Leuchte fehlt komplett 

Bitte schnell reparieren da direkt an der Grundschule",2025-11-06T17:33:15+01:00,open
65674-2025,Leuchte beschädigt,#65674-2025 Leuchte beschädigt,"Leuchte fehlt komplett 

Bitte reparieren ",2025-11-06T17:35:38+01:00,open
65675-2025,Leuchte beschädigt,#65675-2025 Leuchte beschädigt,Leuchte fehlt komplett ,2025-11-06T17:37:03+01:00,open
65677-2025,Leuchte beschädigt,#65677-2025 Leuchte beschädigt,"Leuchte fehlt komplett 

Bitte wieder montieren ",2025-11-06T17:40:22+01:00,open
65679-2025,Leuchte beschädigt,#65679-2025 Leuchte beschädigt,"Leuchte fehlt komplett 

Bitte reparieren ",2025-11-06T17:47:58+01:00,open
65680-2025,Leuchte beschädigt,#65680-2025 Leuchte beschädigt,"Leuchte fehlt komplett 

Im Umfeld unzählige weitere 

Bitte alle reparieren ",2025-11-06T17:49:59+01:00,open
65681-2025,Licht in ganzer Straße ausgefallen,#65681-2025 Licht in ganzer Straße ausgefallen,Leuchte defekt ,2025-11-06T17:55:15+01:00,closed
65684-2025,Leuchte ausgefallen,#65684-2025 Leuchte ausgefallen,Leuchte defekt ,2025-11-06T18:21:29+01:00,closed
